id;start_date;target_area;target_date;achieved_area;cost_of_intervention;created_date;last_modified_date
1;2023-07-29;26548;2023-07-29;19589;21196;2023-07-30T12:03:51;2023-07-30T12:53:06
2;2023-07-30;7582;2023-07-30;28464;8894;2023-07-30T01:30:24;2023-07-30T02:13:17
3;2023-07-30;18973;2023-07-29;12613;16495;2023-07-29T23:11:25;2023-07-30T02:41:12
4;2023-07-30;3480;2023-07-30;11841;6165;2023-07-29T23:34:47;2023-07-29T21:55:23
5;2023-07-29;99;2023-07-30;614;9492;2023-07-30T03:49:17;2023-07-29T23:25:49
6;2023-07-30;31909;2023-07-29;12731;21495;2023-07-29T23:39:31;2023-07-29T23:47:57
7;2023-07-29;21634;2023-07-29;15857;5094;2023-07-30T06:58:09;2023-07-30T01:18:55
8;2023-07-30;28908;2023-07-30;19522;8502;2023-07-30T01:12:29;2023-07-29T16:42:15
9;2023-07-29;24090;2023-07-29;9338;15269;2023-07-30T02:54:49;2023-07-30T03:48:27
10;2023-07-29;975;2023-07-30;12521;13539;2023-07-30T13:50:01;2023-07-30T12:24:39
