id;name;description;start_date;end_date;created_date;last_modified_date
1;Tandem valley Generic;female fuga;2023-07-30;2023-07-30;2023-07-30T06:46:05;2023-07-30T14:25:23
2;debitis North iure;ivory matrix;2023-07-30;2023-07-30;2023-07-30T11:18:57;2023-07-30T12:36:21
3;ducimus Northwest Industrial;Account Clothing Markets;2023-07-30;2023-07-30;2023-07-30T04:46:53;2023-07-30T07:30:36
4;Soft reintermediate Metal;transform Southwest victoriously;2023-07-30;2023-07-29;2023-07-30T04:58:03;2023-07-30T11:00:38
5;complexity;ah Money North;2023-07-30;2023-07-30;2023-07-29T22:52:28;2023-07-30T03:51:54
6;honeymoon North Advanced;tesla Electric niches;2023-07-30;2023-07-30;2023-07-30T09:34:01;2023-07-30T08:15:35
7;bratwurst consequently;Coby compelling overriding;2023-07-29;2023-07-30;2023-07-30T09:16:01;2023-07-30T05:58:32
8;farad;payment Accountability matrix;2023-07-29;2023-07-30;2023-07-30T10:06:47;2023-07-29T16:16:14
9;aut lavender;Diesel;2023-07-30;2023-07-29;2023-07-30T07:26:19;2023-07-30T04:11:01
10;Reggae Brooks Sedan;Gloves;2023-07-29;2023-07-30;2023-07-29T18:44:16;2023-07-30T06:21:31
