id;name;lng;lat;created_date;last_modified_date
1;Creative;15005;31249;2023-07-30T12:18:10;2023-07-30T10:35:22
2;Direct to Euro;17914;32614;2023-07-30T06:16:36;2023-07-30T13:28:09
3;currency drive intranet;23471;9720;2023-07-30T04:02:18;2023-07-29T15:47:18
4;Bicycle doting;4737;11432;2023-07-30T09:54:19;2023-07-29T20:27:32
5;Mouse compress snappy;22724;7121;2023-07-30T02:02:02;2023-07-30T07:20:55
6;Sharable;9906;25463;2023-07-29T16:23:57;2023-07-30T02:07:15
7;Hyundai compress;22671;25731;2023-07-30T07:28:22;2023-07-30T13:55:12
8;invoice;11238;4540;2023-07-30T02:51:55;2023-07-30T06:46:00
9;Sulfur Southwest Cheese;29740;12119;2023-07-30T02:40:00;2023-07-29T16:43:25
10;Hybrid disintermediate adipisci;24380;21103;2023-07-29T18:10:48;2023-07-30T08:37:30
